nom_complet,siren,nb_sites,nb_departements,departements
LES 3 DRUIDES,909570905,1,1,63
SARL INNOV'IA 3I,418480687,1,1,63
OLIVIER DUPUY,533458204,1,1,63
JEAN-JACQUES HIRN,797960432,1,1,63
PASTA DU SANCY,904974979,1,1,63
LA MIELLERIE DE MONTALEIX (LA RUCHE AUVERGNATE),908180029,1,1,63
SVLH (SAVEURS VOLCANIQUES),922639562,1,1,63
FABA KHEIR,911912285,1,1,63
MURAT KALE (MUMUDO),978924298,1,1,63
DELICES D'INITIES (DELICES D'INITIES),795320977,2,1,64
IRINA (IRINA),882778939,2,1,64
LES CONFITURES DE HAUTE SOULE,438642605,2,1,64
NOVA'DYN,539605006,2,1,64
URRE GORRIA,808709539,2,1,64
"FAMILLE MICHAUD APICULTEURS (YVES MICHAUD, VINCENT MICHAUD, LA MIELLERIE DES PYRENEES, PHARMIEL, MIEUXSUCRER.COM, BERNARD MICHAUD)",775638117,1,1,64
DOHATSU (DOHATSU),910286061,1,1,64
LES ACCORDS D'AUREMA,918662842,1,1,64
SAINT (SAINT),880656046,1,1,64
FLEUR DE VIE,834979239,1,1,64
H'OAT NATUREL,900126525,1,1,64
MARIA HERNANDEZ (JIMENEZ) (CASA PEPE),952179802,1,1,64
AMALTHEA SA,332747716,1,1,64
LA MIELLERIE DES PYRENEES,879813616,1,1,64
JEAN-PIERRE DAO,414476168,1,1,64
BRENNOS SUPERFOODS (BRENNOS SUPERFOODS),804953917,1,1,64
FREDERIC PARONNEAU (FRAIS DE CHEZ VOUS),898503974,1,1,64
LE MAISON BEARNAIS,919938829,1,1,64
LES TARTINES DU BERGER FRANCK ROSCIGLIONE,505133397,1,1,64
FRANCOISE BAUFRETON ZARRA (BAUFRETON) (UN + A TABLE),497599209,1,1,64
MICKAEL GRISLIN (LOS CROQUETOS 64),904856135,1,1,64
LA FERME VIGNECOISE,397821745,3,1,65
AGRO ALIMENTAIRE BARCOS ET COMPAGNIE (2A-BC),444303150,1,1,65
LES 2 PICS,518745773,1,1,65
GUERIN,814719183,1,1,65
LE MILANO,953722998,1,1,65
PATISSAROME,323504233,1,1,65
MADRAS,388898793,1,1,65
SARL A LA RUCHE,811823863,2,1,66
SUD AROMATIQUES FRANCE,320279425,1,1,66
PORTYLLA,753542752,1,1,66
GUILLAUME CANICIO,408064434,1,1,66
MIELLERIE COOPERATIVE D'ORTAFFA,877525683,1,1,66
HINDIVALI,824807861,1,1,66
ABIES LAGRIMUS,794298182,1,1,66
CASAVAINILLA,890025489,1,1,66
EURL FLO MERCIER (EURL FLO MERCIER),490157070,1,1,66
BRUNO HAMEL,339965550,1,1,66
REVITAE,919012955,1,1,66
CAFES DU MONDE,894011402,3,1,67
SOLINA STRASBOURG,950623710,2,1,67
AROLAB,332887454,2,1,67
PAPA CICCIO,497663054,2,1,67
JZ SANTE NATURELLE,500676150,1,1,67
ARIK LABORATOIRES,303628176,1,1,67
LESAFFRE CULINARY STRASBOURG,558504254,1,1,67
CONRAD,379285026,1,1,67
ETABLISSEMENTS SCHEIB,349418467,1,1,67
ELITEPHARM LABORATOIRES (ELITEPHARM LABORATOIRES-GROUPE ELITEPHARM-TRADING POINT-SUN POST-GREENY),413515883,1,1,67
NICOLAS CAPRE (COLLOIDAL R2V),892280645,1,1,67
A.T.F (LA FLAMME D'ALSACE),852738764,1,1,67
AUDE BERNADAC (AUDE A  LA NATURE),914597562,1,1,67
FLUYD,902969732,1,1,67
BURGER DREAM PRODUCTION,824695803,1,1,67
SPFD (MITICO),917582280,1,1,67
MATHIEU CHRIST (TRAITEUR CHRIST M),982287005,1,1,67
MAISSA HAMOUCHE (DZIRIYA),949662324,1,1,67
ANTHONY KNAUB (KNAUBFLAM'),953719002,1,1,67
LABORATOIRE PHYTOBIOLOGIC FRANCAIS (LPF),326943172,1,1,67
ACTIDIET,388119455,1,1,67
C A F B,419406459,1,1,67
BKT INTERNATIONAL,419895438,1,1,67
ANNE BOUR (WERVER) (BRICOLOMIEL),429678857,1,1,67
ALL SENS,490706488,1,1,67
UMIAMI ALSACE,922183488,1,1,67
BERNARD DANNER,515026524,1,1,67
LA FLAMBEE D'ALSACE,837727320,1,1,67
TIZIANA MAURO (TOSCANO) (TIRA MIGIU),845239789,1,1,67
TRADI FLAM'S (KAUFFER FRERES),891500100,1,1,67
LES PISVERTS,887542017,1,1,67
ECOLYS SAS,528805641,2,1,68
MANUFACTURE ALSACIENNE DENREES ALIMENT (MADA),317193183,2,1,68
SOJINAL,338471980,1,1,68
HALIM BOUKERCHI (123 PAR'THES),749905154,1,1,68
HOTAYA FOOD,801698069,1,1,68
P.POWDER,948564000,1,1,68
MIGUEL IVAN MURCIA ESCALONA (SAMO),978441020,1,1,68
C COM (C COM / DELICES D'EVE / LE COIN DU LUTIN),794583633,1,1,68
SEVERINE FEBVAY,449565449,1,1,68
PLEIN D'VIE,884156480,1,1,68
ELONA NATURE (ELONA NATURE),881439756,1,1,68
PASCAL LUC (SNACK ET TARTES FLAMBEES),478104664,1,1,68
LES TROIS CHENES (LABORATOIRE D'INNOVATIONS LES TROIS CHENES),477506901,3,1,69
ERIC FIORITO,480072594,2,1,69
BENEDELICES,819023144,2,1,69
CHICKEN GARDEN SARL,920411139,1,1,69
SANTALIM,912722931,2,1,69
DELACHAUCHE,949040919,2,1,69
BENOIT DUPUY - SALLE,491872214,1,1,69
ATRIA,399172089,1,1,69
ADRIEN GABRIELE (LMDNATURE),749957320,1,1,69
JEROME GERVAIS (DOUCEURS DE JEROME),898701743,1,1,69
SAS WONDERWOMALT (MALTIVOR),840571541,1,1,69
AS DE COEUR,878503952,1,1,69
GYD TECH (HEYDOC),922160759,1,1,69
MAXIME MAYELA (MARIEFRUIT COMPANY),951229400,1,1,69
WIAM YACOUBI (CHEZ FATNA),979231305,1,1,69
NUMORNING,831343132,1,1,69
MODA FOOD (COEUR D'AMANDE),529634388,1,1,69
THOMAS JOLY,883837254,1,1,69
MON CORNER DIET (MON CORNER DIET),881205751,1,1,69
FRANCK GASSIER,492492947,1,1,69
SARL DESIFRUIT,493488035,1,1,69
ROBERT MARTINEZ (MARTINEZ ROBERT),344446653,1,1,69
IMEX INTER,813173978,1,1,69
MANUEL DONATIEN (MD),885307512,1,1,69
KARIMA MABROUK,887952257,1,1,69
LA FABRIQUE FRANCAISE,977710367,1,1,69
MAGALI BOURGOGNE,489430892,1,1,70
VINCENT JEANNENEZ,479744625,1,1,70
LUCIA GRAVIER (MALTESE),507964005,1,1,70
SAN MARTIN,820309540,1,1,70
FESTIVAL DES PRODUCTEURS (FESTIVAL DES PRODUCTEURS),889857603,2,1,71
DAUNAT BOURGOGNE,420990491,1,1,71
LABORATOIRE-HN,751034430,1,1,71
SARA PORTIER (DA CONCEICAO RODRIGUES),834948648,1,1,71
MICHELE TISSOT (NATUR'L CREATION),951371186,1,1,71
SOCOVO,423429356,1,1,71
SARL LE FOURNIL BOUCICAUT,500660873,1,1,71
PHYTO-ANIMAUX,815139225,1,1,71
CARESPA,509436432,1,1,72
OCTAVE GEORGES,788305647,1,1,72
SOCAPHI,798606265,1,1,72
BON MATIN &CO (BON MATIN ET CO),888029212,1,1,72
LE SAVOYARD GOURMAND,439308545,1,1,73
KARINE LOUDOUEINEIX (EXCOFFIER),444986921,1,1,73
TERRE & VIE (T&V),917719809,1,1,73
ALPY,832384218,1,1,73
MARIE ROBERT (AETHERA NOCTUA),948361720,1,1,73
POP YOUR LIFE (POP YOUR LIFE),882257421,2,1,74
DELPHINE DISTRIBUTION PRODUITS POUR PIZZA,515016186,1,1,74
CHOCOLATREE,753832625,1,1,74
CAROLINE BLUM,853553949,1,1,74
MAISON ALP'N,882553993,1,1,74
COEUR GOURMAND DES ALPES (COEUR GOURMAND DES ALPES),951335884,1,1,74
ALLYN NUTRITION (ALLYN),980759484,1,1,74
ELIXALP,411802945,1,1,74
LEA CHEVALLIER (ALVES DE SOUZA) (COMME SUR UN NUAGE),803307941,1,1,74
BELLAMY,449335769,1,1,74
NUTRYN,882544414,1,1,74
SWEET ALPES & CO,821858636,1,1,74
SAFETYNAT LIMITED,437820749,1,1,75
ERABLIERE ESCUMINAC INC,810120725,1,1,75
CHARLOTTE FRANCISCO,819855727,2,1,75
SARL MISS MARIA,917610958,1,1,75
PECHERIES ET CONSERVES ALIM,775755853,1,1,75
MMECOM,499941920,2,1,75
GASTRAWNOMIA S.L,980504674,1,1,75
RACHID ZERROUKI,827932104,1,1,75
SOCIETE DE MANAGEMENT LYOVEL,432326023,1,1,75
HK SURGELES (HK SURGELES),491948865,1,1,75
AU COUPE TOUJOURS,512688557,1,1,75
THI TRINH (VILLAREAL),512810748,1,1,75
SANOOK (NUTRITING),534156542,1,1,75
ANTOINE IFF,537647653,1,1,75
FUNNY DRINK,525144572,1,1,75
COOPI 2F,383512761,1,1,75
PHARMA - RECHERCHE,442816112,1,1,75
DOMUSEO (DOMUSEO),752130781,1,1,75
KAMALALOGINI ANTON THEOGINESH (NAGARAJAH) (RAM),752189613,1,1,75
LES NOUVEAUX CONFISEURS (PAPABUBBLE) (LNC),802626895,1,1,75
SRIYANI ANGAGE PERERA (KANDANA ARACHCHIGE PERERA),811635556,1,1,75
MARC-OLIVIER KANIECKI,811689074,1,1,75
SMART INNOV,819863002,1,1,75
KEITH ROBERTS JR (DOUGHMADE),820552560,1,1,75
HERON ET CANARD,891543134,1,1,75
SATVIC (SATVIC),893284414,1,1,75
PLANTED FOODS FRANCE,898313424,1,1,75
ELIANNE AMBOMBO (EMMAEMOY),898441191,1,1,75
LE PREPARATOIRE (LES PREPARATIONS DE L'APOTHICAIRE),822536660,1,1,75
DELICIO DESSERTS,848359212,1,1,75
SDSG (BU BOULLIONS A BOIRE ET PLUS),831188727,1,1,75
LA PETITE MADELEINE PARIS (LA PETITE MADELEINE PARIS),880573282,1,1,75
DALIA LAB (DALIA LAB),919967596,1,1,75
NMC LAB,821337789,1,1,75
LEBOURTHE SAS,902590686,1,1,75
KR HOLDING,823214630,1,1,75
GROUND (BREWSTICKS),851911784,1,1,[N
INNOVEA BIO,912004546,1,1,75
BLO14,978863272,1,1,75
MOYI BABYFOOD,978914075,1,1,75
LABORATOIRE AVENIR,982682627,1,1,75
LABORATOIRES BRYSSICA,452988595,1,1,75
INNO-K,909385106,1,1,75
SODEPHY (SODEPHY),422280735,1,1,75
MARIE-CLAIRE BOHL,414218750,1,1,75
LILA (SOLEIL VIE) (S.P.P.A),530299973,1,1,75
STEVIA INTERNATIONAL EUROPE (STEVIA INTERNACIONAL EUROPE) (S.I.E),539758425,1,1,75
PRISCILLE GUESNIER (MA PETITE POULE),798548681,1,1,75
LA FINE GAMELLE (LFG) (LFG),833691702,1,1,75
SMOOTH & GO,839234614,1,1,75
CANTINOMADE (CANTINOMADE),902551217,1,1,75
COLETTE LAB,880140421,1,1,75
ANTIAGING EQUATION,920230380,1,1,75
FRENCH ESMIN BIOLOGICAL TECHNOLOGY,920515780,1,1,75
SAKAY (SAKAY),921198917,1,1,75
NUTRALPES,947845384,1,1,75
HEALTHY CAN LICENCE (HEALTHY CAN LICENCE),910504398,1,1,75
PLV 115,453549271,1,1,75
ERIC COULON,452189707,1,1,75
MAISON DE LA CARAIBE,512930413,1,1,75
NUTRILAB,511154114,1,1,75
APIS CERA,843078536,1,1,75
CHE REBEL SPIRIT,829920115,1,1,75
NATIFOOD (BAM & CO),845108554,1,1,75
CHIBOUSTE,852836501,1,1,75
MANNI'S KITCHEN,853000362,1,1,75
77 FOODS (77 FOODS),853040186,1,1,75
LIFE'S CODE,849711551,1,1,75
MAH SPIRIT,853834604,1,1,75
JULIE BRASEY,813191020,1,1,75
DEBOTERAH PARIS,895329399,1,1,75
MAISON COSAAN (COSAAN),885274837,1,1,75
YIREH LEE (ERRER),887530061,1,1,75
BEKHAVOD,887720019,1,1,75
SAUCE,911821122,1,1,75
PAPI LALOU (PAPI LALOU) (PAPI LALOU),913681219,1,1,75
K&B COMPANY,954062287,1,1,75
MOHAMMED KANOUNI (AMLOU DIAL DAR),981250087,1,1,75
SOULSPICE FRANCE,981633449,1,1,75
NUTRISET,337986798,2,1,76
FRESH IDEAL,524327756,1,1,76
RIPLEY,442732624,1,1,76
NUTRISET PLUS,442732640,1,1,76
SANAE,892368622,1,1,76
LA GRANGE SAINT ETIENNE (LA GRANGE SAINT ETIENNE),915020945,1,1,76
CMIO (CMIO),908412083,1,1,76
BY CATHERINE BREARD,832182273,1,1,76
KATTY BORDEAU,953584836,1,1,76
LPM (LE PETIT MINOTIER),804577641,1,1,76
NOKOSS AK SALY (YATERA INDUSTRIES),922288212,1,1,76
BIOSYLX,824166383,1,1,76
SAFIR,877849745,1,1,76
PASSION DRECHES,848516100,1,1,76
LOUIS FRANCOIS,333136331,2,1,77
DELICE VENAISON,399149657,1,1,77
JAMINEX,414222810,1,1,77
DANIEL HUMBLOT NUTRITION (DHC NUTRITION),389375726,1,1,77
HAPPY CRULTURE,803067065,1,1,77
BISE,915253033,1,1,77
S.A.S. - PIZZAYOLO,814271623,1,1,77
CATHERINE MANKINDOU (CHERRI) (FURAHA MAMA),887587921,1,1,77
CELINE LACOUR (LC COOK),949195044,1,1,77
ABACULES GASTRONOMIQUES,534205752,1,1,77
CHRISTOPHE PICHON (COYOTL COMPANY),901975227,1,1,77
LES ALTERNATIVES,911308641,1,1,77
HENRY SETROUK,511812703,1,1,77
LAURENT PIED (C-AUTHENTIC),879192367,1,1,77
RAINBOW,879272904,1,1,77
CORDELIA FRANQUEVILLE (LES PETITS PLATS DE CORDELIA),891105173,1,1,77
BARBARA DA FONSECA,887613263,1,1,77
CAROLINE LEGRAND (LET IT BEE),953509346,1,1,77
DR OTTO SUWELACK NACHF & CO,390706877,1,1,78
PERFORMA,411847064,1,1,78
AROMES   GOURMANDIZ (AROMES & GOURMANDIZ) (A   G),751199464,1,1,78
TOMAGA INDUSTRIES,805137759,1,1,78
THI TUAN ROSE DANG (NEM TUAN),809459696,1,1,78
BIOCRYSTAL 7 (BIOCRYSTAL),848311478,1,1,78
PASTEL,877955468,1,1,78
ANTONIN WATIER (ANTONIN WATIER),903917045,1,1,78
HERBAER LABS,837701747,1,1,78
MAISON SPECHT PRODUCTION,838406593,1,1,78
KAHINA BENAMAR,980199640,1,1,78
VIRGINIE LARDE (DUGELAY),951876341,1,1,78
LES DELICES DU POTAGER (LES DELICES DU POTAGER),827833401,1,1,78
POSITIVE PRODUCTS,881511885,1,1,78
KAJUS KIETZ,920592995,1,1,78
ENCOEUR,951022664,1,1,78
SB BIOTECHNOLOGIES,450983051,1,1,78
REKILIB,834929994,1,1,78
ILENIA AMATO (DI MODICA) (ARANCINANDO),879163780,1,1,78
CHEN DA XING,844788562,1,1,78
BEVERLEY BARKER (JOHNSON),790292395,1,1,79
CAILLE D'OR,414723080,1,1,79
MIELLERIE DE SURIMEAU,918828401,1,1,79
HYLE CARE,922537915,1,1,79
PHILIPPE BOUCHARDON (ATELIER2),437585425,1,1,79
DOLEA,452008055,1,1,79
ANIS,512782186,2,1,80
MARIE-MADELEINE LEFEBVRE (CHEVILLOT) (LES SUCRES DE MARINETTE),490872637,1,1,80
ELOUISE HILHORST,801048141,1,1,80
SASU GHF (GOURMANDISES DES HAUTS DE FRANCE),831580782,1,1,80
ARC FOOD FRANCE,449222058,1,1,80
BELLYCARE,982137291,1,1,80
PACHAMAMA-PHYTO (PACHAMAMA-PHYTO),893871996,2,1,81
LABORATOIRES PHODE,503972598,1,1,81
SAMAGIT TECHNOLOGIE BIO-CHEM (ELIXLABS),905060646,1,1,81
MT NUTRI,909125999,1,1,81
SAADIA MISSOUM (BELAID),832401897,1,1,81
GREGORY JULIA,522157296,1,1,81
PHILIPPE MARCHAND,414550590,1,1,81
CURCUMAXX FRANCE (CURCUMAXX FRANCE),837571991,1,1,81
PHYTOCOSMA,432694354,1,1,82
S.M.B.S.,880132170,1,1,82
ANNA PASSERIEU (LES DOUCEURS FRUITEES D'ANNA),894452010,1,1,82
TERRINADES DE PROVENCE,419511845,1,1,83
COCA COLA MIDI SAS,433663770,1,1,83
CATRICE GOURMET (CATRICE GOURMET),509632949,1,1,83
PACA HALLAL FOOD,538620717,1,1,83
STEPHANIE DUPEYROT (SERGI-GOBERT),520715798,1,1,83
MARLENE FOUQUE,519808257,1,1,83
JAN MILEC,394609002,1,1,83
SYLVIE SKRZYPINSKI (SKRZYPINSKI SYLVIE),442713764,1,1,83
QUAI SUD (QUAI SUD - EPICERIE DE PROVENCE-GOURMET IN LOVE-QUAI SUD BIO),442762647,1,1,83
PHILIPPE LECLERCQ (ZEN MISO),431349315,1,1,83
LES GLACIERES DU LITTORAL (LES GLACIERES DU LITTORAL - HERMITTE RAMONAGE),511647539,1,1,83
SAVEURS TOULONNAISES,528277791,1,1,83
CHRISTIANE LUBRANO-LAVADERA (VEDRENNE) (CRICRI SERVICE),904834280,1,1,83
DYNA + FRANCE,824695910,1,1,83
MAXIME PAXE (ANIM&DOUCEURS),977652387,1,1,83
BOCAUX D'AQUI,978153153,1,1,83
MICHEL REMACLE,792498974,1,1,83
C.B.F.,383073624,1,1,83
EQUINUM,394031785,1,1,83
NY PRODUCTION (SARL PATE A PIZZ),533112678,1,1,83
SARL AVALON (AVALON),533469243,1,1,83
ANDRE BARCELO,800385791,1,1,83
SOHAD ANSEUR (JAUNE OLIVES),808927966,1,1,83
VGIL'S,899992762,1,1,83
JENNIFER LOPES (JENNI BOULE),900280652,1,1,83
NATOU MIEL (NATOU MIEL),881108617,1,1,83
ALFA FOOD FACTORY (ALFA FOOD FACTORY),847751740,1,1,83
LA MAISON DE LA TAPENADE - 3 OEUFS (LA MAISON DE LA TAPENADE - 3 OEUFS),820593424,1,1,83
CONTINENTAL FOODS BELGIUM NV,820932085,1,1,84
APERO TEAM (LP),842463663,2,1,84
GB FOODS BELGIUM,914451901,1,1,84
CAP SUR LES SAVEURS,512549627,2,1,84
PROVENCE AROMA (LAPANA),513476507,1,1,84
AUTOUR DE LA RUCHE (A.D.L.R.),522105360,1,1,84
LA SAVOUREUSE,353505134,1,1,84
SISOUVANT NGUYEN,451345862,1,1,84
DORINNE HAUTION (BERTRAND),488158312,1,1,84
SANDRINE FAGGIN,750966970,1,1,84
SYLVIE CORDIER (MOUCHON),892695164,1,1,84
THE SUN KITCHEN,852308386,1,1,84
LISLOU-EN-PROVENCE,879691186,1,1,84
LUDOVIC AILLAUD (LES QUATRES SAISONS DU GALINET),520086695,1,1,84
SOC EXPLOIT ETS VIAN CHARLES,351255096,1,1,84
SA SPIFOOD,398760272,1,1,84
MEDITEA,393342993,1,1,84
LABORATOIRES HERBATECH,439074246,1,1,84
JOSE DEL BOSQUE,483376174,1,1,84
OCEANE BRUNET (LE JARDIN DES AROMES),807431457,1,1,84
CLAUDE HUET (LES TOQUES DE LA TRUFFE),328513551,1,1,84
SARL OLIVERIE DU COMTAT ET DES BARONNIES,390927713,1,1,84
FREDERIC CORNILLON,525007803,1,1,84
VG FOOD,877693770,1,1,84
GB FOODS PRODUCTION FRANCE,810874347,1,1,84
NDFC,979229432,1,1,84
JEAN MATTIELLO,981464050,1,1,84
KREEK'S-FRANCE ARACHIDES,328385562,2,1,85
TOQUE FOOD EVENT,918652876,2,1,85
ERIC GANDOUIN,521103903,1,1,85
LES OEUFS GESLIN,353610702,1,1,85
MELLI-OUEST INTERNATIONAL,351103197,1,1,85
ROMY RABILLARD,488219064,1,1,85
P.M.T. VENDEE DIFFUSION,403575517,1,1,85
SAS BROCHARD,815129341,1,1,85
DE LA ROSEE (DE LA ROSEE),888340395,1,1,85
WAYFORT,853398105,1,1,85
AXELLE SIMONIN (VOYAGE EN COQUILLAGE),919356105,1,1,85
AIR NUTRITION,750860173,1,1,85
TAPASTI (TAPASTI),503457756,1,1,85
H.M.D PIZZA,501889992,1,1,85
VIOLETTE,845255603,1,1,85
BIOZEN-SYNERGIES,878882257,1,1,85
MILVIES,893902700,1,1,85
CARI-LEE,901801035,2,1,86
CRYSTAL GOURMET,511404204,1,1,86
MIREBEAU OVOPRODUITS S.A.M.O.,383959590,1,1,86
ECOLIENCE,883969685,1,1,86
AAVNA (ALTER VEGGIE),911789220,1,1,86
PLANTALAB,979021755,1,1,86
XAVIER GOBY (SAVEURS EN FOLIE/PRODUITS EXOTIQUES & SELS FOUS/TOP EPICE EI),338373913,1,1,87
ORGANIC GREEN PIGEROLLES (O G P),883924631,1,1,87
MARION VIGNES (SAUVAGES & CIE),904720018,1,1,87
THE CAN PROJECT,947819892,1,1,87
MICKAEL NICOT,799567599,1,1,87
EURL GUILLAUME CHALLET - LA VOIE LACTEE (LA VOIE LACTEE),901523613,1,1,87
PIZ'WICH EUROPE,434765350,1,1,88
PAULETTE THIRIET (BAILLY),312641467,1,1,88
LORRAINE ALIMENTAIRE SARL,329824270,1,1,88
PYNEAU PRUNUTZ (PYNEAU PRUNUTZ),833020381,2,1,89
LA PETITE MEULE (LA PETITE MEULE),531739878,1,1,89
FERME DUBOIS,889824769,1,1,89
HERVE BAHR,392596367,1,1,89
CLAUDE LESPAGNOL,305140972,1,1,89
EMELINE GARNIER (ROGER) (LES BOCAUX GOURMANDS E&H),947585972,1,1,89
PARAPHYTOS (PARAPHYTOS),983395302,1,1,89
SULEYMAN CERANIC,482436201,1,1,90
LA XIII VARIANTE (LA XIII VARIANTE),801994914,1,1,90
JULIEN BESSON,917758922,2,1,91
PLANTEX,377559265,2,1,91
CHR HANSEN FRANCE SAS,552103905,2,1,91
SMBC,451060123,1,1,91
CATHERINE BIALAS (LECLERCQ) (DAM ' CAT),892040171,1,1,91
DELICES & SAVEURS,881923817,1,1,91
LA CREMERIE DU PETIT PARIS,919384263,1,1,91
ABDALLAH AL HAMAD,837999523,1,1,91
PINJA,838847333,1,1,91
JESSYCA AZEVEDO MENEZES DA SILVA (DA SILVA SABORES DO BRASIL),948181821,1,1,91
VACHIR SUSHI (VACHIR SUSHI),979108438,1,1,91
OPHELIE HADJADJE (JENNERET) (LES SUCETTES PIPELETTES),797410495,1,1,91
VEG AND FRUIT,827553702,1,1,91
LABORATOIRE BIOPREVENTIS (BIOPREVENTIS) (LBP),908334998,1,1,91
AUPO,920197696,1,1,91
FRENCH ATTITUDE,481839645,1,1,91
MANGIA-IL LABO,898153234,1,1,91
CARRE DE CAFE,840874945,1,1,91
ANAIS MOUTTE (MADELEINE AIME),841738941,1,1,91
GRIFFITH FOODS,889364923,1,1,92
BYOGENIE PROJET,827546714,1,1,92
JARDINS SUSPENDUS DE BABYLONE (J.S.B.) (J.S.B.),502265820,1,1,92
SOCIETE FINANCIERE DE RESTAURATION,512886631,1,1,92
MOHAMED HASNAOUI,514024983,1,1,92
EMMANUELLE CHAUVEAU CREATIONS (MACARONS & CO/CALISSONS & CO/MACARONS ET CALISSONS),533944146,1,1,92
EXO SAVEURS,524263134,1,1,92
BIOFAR,421603978,1,1,92
AUBONNE,421932294,1,1,92
LUPE LEONARD,804432235,1,1,92
NASSIM BELAMBRI (NORD-ANTIKA),919625798,1,1,92
SALEMOON,912754108,1,1,92
LOREA DE VOS,817754708,1,1,92
MEENUTS,912256252,1,1,92
NAJET BEN YAHIA (BEN MAAMAR) (DELICE ZAMNI),952637270,1,1,92
EMMA ANQUEZ (EMMA ANQUEZ),953717691,1,1,92
FRANCE ALIMENTATION,791485766,1,1,92
EL ATTAOUIL,432089274,1,1,92
SIFAN CHI (LE CARRE FRANCE),538835430,1,1,92
YASMINA ALAMI (BADAOUI),804048536,1,1,92
ELISA ENGEL (MIEL ENGEL),880494364,1,1,92
NATHALIE TUPIN (REICHSTADT),519636823,1,1,92
PANDA SANTE,908539125,1,1,92
KARINE GUILLOUET,843091539,1,1,92
DEVORE FOOD,852407576,1,1,92
MAMOSSA,901900456,2,1,93
KEKE FRAIS,899444822,2,1,93
LEO AND PHIL,813496015,2,1,93
KEKO,507946770,1,1,93
SOUN SOUN,534396999,1,1,93
NEMS FOODS (NEMS FOODS),519155212,1,1,93
SARL SCOOP,411879430,1,1,93
N & M FOOD,805183340,1,1,93
LA DOUCEUR DU MATIN,948730213,1,1,93
PSŌM SAS,978521383,1,1,93
SOLANGE BLE,792183899,1,1,93
MBONGUI GOURMETS INTERNATIONAL (M.G.I),514801943,1,1,93
CLEMENTIA VOLUPTA,534733241,1,1,93
NAYA 17,799632534,1,1,93
ROMAINE NGO HIOBI,800227290,1,1,93
BAGEL' STREET,798695698,1,1,93
SWANBAY,831887591,1,1,93
M2J & ASSOCIES,907651442,1,1,93
HD FOOD,904456514,1,1,93
LUNTADILA BILUNGANY,821892825,1,1,93
VIRGINIE MITRI (RAPIN) (DECOFESTIV'),911614360,1,1,93
SPOON,952390078,1,1,93
JOAO ALMEIDA DA SILVA (YOCHAQ),497957928,1,1,93
MAK 2,488481573,1,1,93
COBASAIGON PRODUCTION,450748066,1,1,93
WU WEI YUAN (WU WEI YUAN),479895963,1,1,93
KOMY,524666831,1,1,93
TAAMALA (TAAMALA),853584126,1,1,93
VAPE MAKER,977458447,1,1,93
SAMANTA JOVANOVIC (SAM GLACON),979190477,1,1,93
AUX FONTAINES DU PARC,898550793,2,1,94
SCAMARK,410970503,1,1,94
STUDIX (STUDIX CATALYONS),477879316,1,1,94
FACTORY & CO LAB,794835389,1,1,94
FOODS AND CO,797461209,1,1,94
HEALTH AND DIN,811057306,1,1,94
ASIE GOURMET,818868689,1,1,94
LE JUS DE MAMA (LE JUS DE MAMA),888312220,1,1,94
CESAREE,918194200,1,1,94
MUUZ EXCELLENCE (MUUZ EXCELLENCE),852196930,1,1,94
KIM OANH FOODS,850903360,1,1,94
BENEDICTION (LUCKY),842611527,1,1,94
MY FOOD SERVICE (GOLDEN DELICES),834208001,1,1,94
NOUHA ARIECH (WLI),849583075,1,1,94
LES NOUVEAUX AFFINEURS,829430370,1,1,94
BIJIBIO,949046825,1,1,94
KIZO FOOD INNOV (KIZO FOOD INNOV),914180906,1,1,94
PADBEN,804181220,1,1,94
ALEXIS SANANIKONE,808408835,1,1,94
CARIBEEN BM CORPORATION,832992069,1,1,94
CHO POINT,481250181,1,1,94
NEW DELICES DE CHINE,451933642,1,1,94
O'JU,821063724,1,1,94
MENSAH BRUCE,812339018,1,1,94
AFATSA,953125366,1,1,94
PEDRO MORAIS,982078347,1,1,94
CUISINE PERSE,790184352,1,1,95
CAP TRAITEUR,478426604,1,1,95
LES MILLE ET UNE FEUILLES,430439398,1,1,95
DAVY MOLONGO (M'AJOS),797624483,1,1,95
NER DIFFUSION,918988676,1,1,95
DINA EL NAKIB (EL ATROUSH) (LES DELICES DE DINA),949803613,1,1,95
PAINORAMA GROUP,981637192,1,1,95
ETABLISSEMENTS BLOIS,350415006,1,1,95
DON DE DIEU NDOMBELE (BIOSNACK),793726860,1,1,95
NATHALIE GALOIS,792394256,1,1,95
FLEXLINE NUTRITION (FLEXLINE NUTRITION),484647490,1,1,95
EMILIE DELANOY (LA RUCHE DE JULES),531040400,1,1,95
SAS PPT CC (SAS PPT CC),888789955,1,1,95
MIL FOODS COMPANY,883598740,1,1,95
BENOIT LAVEILLE (TIYOU),919974543,1,1,95
SOCIETE FRANCE BOSNIE (SFB),384131793,1,1,95
SUNNY SIDE,892202607,1,1,95
MERAL GROUP (MERAL TAT),894920164,1,1,95
KITTFOOD EUROPE,894156991,1,1,95
ANTOINE BASTELICA,334540994,1,1,2A
DENIS LABOULAIS,497592493,1,1,2A
CAROLINE ANTONI (ALLAZIA),532329513,1,1,2A
M D 3 SARL,488429960,1,1,2A
CLAIRE POLI (I GUSTI DI LUCIA),921120820,1,1,2A
FRANCOIS MINICONI,510996606,1,1,2A
CONSERVERIE DE CASATORRA,304839863,1,1,2B
DOMINIQUE ALFONSI,402947980,1,1,2B
